               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06213,            0.048274,           0.0078169,             0.83064,             0.85295,             0.87949,             0.50099,             0.02841,            0.024989,           0.0040948,            0.070036,           0.0033293,           0.0033293
                   1,            0.044758,             0.03632,           0.0033656,             0.91132,              0.8959,             0.93202,             0.59705,            0.028958,             0.02357,           0.0019295,            0.040016,           0.0066427,           0.0066427
                   2,            0.040521,            0.033691,            0.002275,             0.90638,             0.91957,             0.94066,             0.64377,            0.022914,            0.022732,           0.0012877,            0.009976,            0.009936,            0.009936
                   3,            0.035735,            0.032633,           0.0018798,              0.9098,             0.93495,             0.94932,             0.76599,            0.017046,            0.019832,          0.00093257,             0.00991,             0.00991,             0.00991
                   4,            0.032882,            0.031348,            0.001649,             0.90075,             0.94079,             0.94855,             0.77155,            0.014623,            0.018229,          0.00081248,             0.00991,             0.00991,             0.00991
                   5,            0.031017,            0.030602,             0.00145,             0.91654,             0.93378,             0.94902,             0.75136,            0.018492,            0.019536,           0.0007422,             0.00988,             0.00988,             0.00988
                   6,            0.029871,            0.029768,           0.0013805,             0.93067,             0.92748,              0.9555,             0.82237,            0.013087,             0.01676,          0.00071727,             0.00985,             0.00985,             0.00985
                   7,            0.028589,            0.029116,           0.0012624,             0.91871,             0.94771,             0.95976,             0.79562,            0.014234,            0.017099,          0.00057023,             0.00982,             0.00982,             0.00982
                   8,            0.027662,            0.028454,           0.0012299,             0.92459,             0.94196,             0.95754,             0.81121,            0.012561,            0.016525,          0.00062674,             0.00979,             0.00979,             0.00979
                   9,            0.026363,            0.028285,           0.0011557,             0.92436,             0.93724,             0.95417,             0.82891,            0.012215,             0.01613,          0.00066396,             0.00976,             0.00976,             0.00976
                  10,            0.027354,            0.027584,           0.0011474,             0.92778,             0.94474,             0.96242,              0.8314,            0.012732,            0.015879,          0.00048819,             0.00973,             0.00973,             0.00973
                  11,            0.026342,            0.027539,           0.0010651,             0.92207,             0.93796,             0.96146,             0.82118,            0.013371,            0.016471,          0.00066109,              0.0097,              0.0097,              0.0097
                  12,            0.025703,            0.027308,           0.0010477,             0.93666,             0.94335,             0.96307,             0.82688,            0.012186,            0.016078,          0.00047885,             0.00967,             0.00967,             0.00967
                  13,            0.025388,            0.027343,           0.0010178,             0.94244,             0.94509,             0.96897,              0.8428,            0.011734,            0.015457,          0.00039112,             0.00964,             0.00964,             0.00964
                  14,            0.024884,            0.026489,           0.0010287,             0.93182,              0.9441,             0.96394,             0.83299,            0.011836,            0.015641,           0.0004279,             0.00961,             0.00961,             0.00961
                  15,            0.024861,            0.026504,          0.00099363,             0.93502,             0.94609,             0.96155,             0.84074,            0.011843,            0.015574,          0.00039267,             0.00958,             0.00958,             0.00958
                  16,             0.02511,            0.026357,          0.00096133,             0.94016,             0.94984,             0.96981,             0.85193,            0.011044,              0.0151,          0.00042146,             0.00955,             0.00955,             0.00955
                  17,             0.02472,            0.025946,          0.00095787,             0.94307,             0.95098,             0.96786,             0.84618,            0.011788,            0.015162,          0.00041155,             0.00952,             0.00952,             0.00952
                  18,            0.024286,            0.025965,          0.00096073,             0.93454,             0.95581,             0.96531,             0.83892,            0.011784,            0.015194,          0.00040222,             0.00949,             0.00949,             0.00949
                  19,            0.023882,            0.026012,           0.0009101,             0.94559,             0.95061,             0.96477,             0.84927,            0.011172,            0.014854,          0.00038178,             0.00946,             0.00946,             0.00946
                  20,             0.02398,            0.025808,          0.00095035,             0.94013,             0.95157,             0.96541,             0.85268,            0.010835,            0.014724,          0.00037882,             0.00943,             0.00943,             0.00943
                  21,            0.023372,             0.02532,           0.0009057,             0.94481,             0.94465,             0.96938,             0.85393,            0.011113,            0.015018,          0.00040756,              0.0094,              0.0094,              0.0094
                  22,            0.022979,            0.025095,          0.00089151,             0.94856,             0.95965,             0.97199,             0.86463,            0.010644,            0.014447,          0.00033024,             0.00937,             0.00937,             0.00937
                  23,            0.023653,            0.025458,          0.00089365,             0.93321,             0.95584,             0.96717,             0.86033,            0.010868,            0.014649,          0.00031942,             0.00934,             0.00934,             0.00934
                  24,            0.023136,            0.024861,          0.00084256,             0.94453,             0.94644,             0.96601,             0.85825,            0.010659,            0.014653,          0.00033875,             0.00931,             0.00931,             0.00931
